,0
0,Arkansas
1,Idaho
2,Indiana
3,Kentucky
4,Louisiana
5,Maine
6,Michigan
7,Minnesota
8,Mississippi
9,Missouri
10,Montana
11,New Mexico
12,Oregon
13,Utah
14,Vermont
15,West Virginia
16,Wisconsin
17,Wyoming
